 ('Carla', 'Gonzalez', 'zcooley@hotmail.com', 'password', '402 Reginald Walk', 'North Scott', 'Wyoming', '01138', 'Bulgaria', '+1-708-868-8369x2375', False, True, '20220818', 'RegisteredUser'),
    ('Tommy', 'Rojas', 'dianehughes@gomez.net', 'password', '04843 Peter Drives', 'North Peter', 'Kentucky', '10284', 'Angola', '(623)172-4214', False, True, '20200417', 'RegisteredUser'),
    ('Christine', 'Cole', 'anthonyrodriguez@hotmail.com', 'password', '97911 Rebecca Stravenue', 'Port Timothybury', 'Missouri', '12601', 'Hong Kong', '(463)043-1010x4236', False, False, '20201118', 'TravelAgent'),
    ('Nancy', 'Willis', 'jonathan44@yahoo.com', 'password', '1194 Morgan Knoll Suite 483', 'Changland', 'Georgia', '05962', 'Botswana', '562.651.3367x91840', False, False, '20220820', 'Admin'),
    ('Wesley', 'Harris', 'kelliwalker@hotmail.com', 'password', '083 Cathy Meadows Apt. 063', 'Alyssaburgh', 'Arkansas', '54464', 'Belarus', '001-630-290-4289', False, True, '20210110', 'RegisteredUser'),
    ('James', 'Ramos', 'hbenitez@miller.info', 'password', '4582 Jasmine View', 'Richmouth', 'Connecticut', '35353', 'Sri Lanka', '5680028485', False, False, '20220520', 'Admin'),
    ('Jennifer', 'Griffin', 'laurabates@smith-le.com', 'password', '49090 Jeffery Fields Apt. 731', 'Shepardfort', 'Florida', '76457', 'Macedonia', '+1-194-194-3089x13053', False, False, '20200419', 'Staff'),
    ('Nicholas', 'Hughes', 'tammiejohnson@gmail.com', 'password', '494 John Track Suite 878', 'Rileymouth', 'New Mexico', '27153', 'Bosnia and Herzegovina', '081-754-1486x646', True, False, '20210125', 'RegisteredUser'),
    ('Larry', 'Potts', 'joneslinda@shaw.com', 'password', '164 Beard Cove', 'Holmesport', 'Alabama', '38131', 'Japan', '(858)063-9082', True, False, '20220901', 'RegisteredUser'),
    ('Jennifer', 'Perry', 'lindamartinez@rodriguez.com', 'password', '864 Crawford Course Suite 741', 'Davidberg', 'Georgia', '06672', 'Vietnam', '926-031-3628', False, True, '20220817', 'RegisteredUser'),
    ('Christopher', 'Hays', 'ili@mendez.com', 'password', '080 Steven Cove', 'North Danaland', 'Massachusetts', '67394', 'Anguilla', '001-446-753-7456x1996', False, False, '20210211', 'Staff'),
    ('Linda', 'Sandoval', 'sharon78@hood.com', 'password', '919 Gregory Drive Suite 432', 'East Cherylborough', 'New Hampshire', '03011', 'Faroe Islands', '524-530-9075', True, False, '20200808', 'RegisteredUser'),
    ('Kristine', 'Scott', 'fdonaldson@smith-harper.biz', 'password', '532 Reynolds Parkway', 'Martinezhaven', 'Wisconsin', '83463', 'Botswana', '+1-499-244-2684x073',False,False,null, 'User'),
    ('Joel', 'Rivera', 'nicolecoleman@shea.com', 'password', '15644 Williams Forge', 'East Crystalhaven', 'Arizona', '94214', 'Czech Republic', '447.365.8518x010', False, False, '20210129', 'TravelAgent'),
    ('Sonya', 'Webster', 'dennis01@yahoo.com', 'password', '175 Christine Fall Apt. 437', 'Lake Davidshire', 'Virginia', '15829', 'Portugal', '(399)705-6192x25040', False, False, '20210818', 'Admin'),
    ('Thomas', 'Crawford', 'colepaula@yahoo.com', 'password', '4654 Anita Pike Apt. 238', 'Port Victoria', 'New Hampshire', '54456', 'Seychelles', '(294)204-8840', False, False, '20220618', 'Staff'),
    ('Benjamin', 'Velazquez', 'benjaminmolina@gmail.com', 'password', '6273 Rodriguez Shoals Apt. 972', 'Davidside', 'Oklahoma', '90737', 'Brunei Darussalam', '(174)820-5977x8470', False, False, '20200522', 'Admin'),
    ('Suzanne', 'Harris', 'steven85@moore.com', 'password', '097 Vanessa Port Apt. 204', 'South Crystal', 'Vermont', '30866', 'Antarctica (the territory South of 60 deg S)', '(668)437-4822x0890',False,False,null, 'User'),
    ('Brian', 'Collins', 'samanthaward@yahoo.com', 'password', '296 Christie Lock', 'East Deniseview', 'North Dakota', '15900', 'Montserrat', '490-566-5628', False, False, '20201228', 'Staff'),
    ('Nicholas', 'Munoz', 'angela49@hotmail.com', 'password', '17736 Kelly Lodge', 'North Amandaport', 'Georgia', '50868', 'Singapore', '804.384.5273x39342', False, False, '20210424', 'Staff'),
    ('Lori', 'Allen', 'jenniferwagner@reyes.net', 'password', '269 Sherman Ramp Apt. 758', 'Christinaview', 'South Carolina', '74850', 'Congo', '830.555.1986x771', False, False, '20200415', 'Staff'),
    ('Connor', 'Wagner', 'charlesberg@hobbs-ward.com', 'password', '872 Melissa Wall', 'Jessicafurt', 'South Carolina', '76617', 'Barbados', '133.065.8571', False, False, '20200221', 'Admin'),
    ('Corey', 'Cox', 'dlee@yahoo.com', 'password', '27574 Guzman Turnpike', 'Lake Troy', 'South Dakota', '74221', 'Serbia', '373.244.1858x45070',False,False,null, 'User'),
    ('Sandra', 'Hart', 'mckenziesamantha@garcia-harris.com', 'password', '254 Morris Springs Apt. 490', 'North Natalie', 'Indiana', '57671', 'Greece', '144.237.7788x966', False, False, '20201231', 'TravelAgent'),
    ('Morgan', 'Snyder', 'bakerdrew@hotmail.com', 'password', '0462 Jon Forge', 'Ryanland', 'Hawaii', '18604', 'Djibouti', '001-801-860-5313x2183',False,False,null, 'User'),
